HRUU1	HRUU10	HRUU11	HRUU12	HRUU13	HRUU14	HRUU15	HRUU16	HRUU17	HRUU18	HRUU19	HRUU2	HRUU20	HRUU21	HRUU22	HRUU23	HRUU24	HRUU25	HRUU26	HRUU27	HRUU28	HRUU3	HRUU4	HRUU5	HRUU6	HRUU7	HRUU8	HRUU9
b8da7ef05b39f49a838b2730ad4df885	0.0	521.0	744.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
f1dd54e23139d78b8f5fe2be83481e8c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1242.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59f82e149efc25d0bd4aac4c543cc3e7	1241.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6f1f9ebb48c94f4f36d58812a5938935	0.0	806.0	404.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
07f0142ce2cee718490f0ad6ab480cc5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2d22f54211145cd3bbc7fc31b1fc3157	0.0	593.0	528.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
196da5d5071d7e61ae5a998e93d01533	0.0	608.0	510.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85fa9514602f27cd7bdfa0244dfb0771	0.0	612.0	478.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
523b4ae07b165120f6c9cab5c5bed17e	0.0	421.0	657.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bc9cb704e0cf3faadd95b9d0a49a37fd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1071.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00e70f32c0e7a5d81bc9eb2859f00ed3	0.0	549.0	508.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f437e30d1d1437391586b8f5cff85064	1011.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ad5ef8e78164820e302d1b3551b9fc91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	473.0	0.0	536.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4b8e8ea5861796b113b4719a85520879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1009.0	0.0	0.0	0.0	0.0	0.0
cb89cf7715b4a361ad536808f4c7fd8a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	994.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c0d31890b345f55e2382724c8d5cdcfa	0.0	490.0	508.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01eaa21b338c9260b6ab7c9e893e8ee8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	984.0	0.0	0.0	0.0	0.0	0.0	0.0
f9a9077bb0be0c31d35ce4520e28c222	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	961.0	0.0	0.0	0.0	0.0	0.0
7c431fe10c2f1812b6db5c891e21b61e	0.0	371.0	606.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
967b353aba731fceafcd2bae7e8cd1ae	0.0	547.0	373.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4088ae8e3c3809c863fca66310886002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	895.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5915a986bd0f4041bc1b79a8165e3f07	0.0	412.0	481.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ec6c0b92e39fc7119f9f8d152e7cc4d7	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	839.0	0.0	0.0	0.0	0.0	0.0	0.0
e49dcdcadaf4b8986837a07cf4c6afce	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	875.0	0.0	0.0	0.0	0.0	0.0	0.0
21cf0589d1aed0047ae47217d72940c2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	878.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1b15701cbb6bffdb8782d5d78b192212	871.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
