"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9","Domain","Phylum","Class","Order","Family","Genus"
"NS9_marine_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00206930130650004,0.00165030467163169,0,0,0.00336109893321643,0.0032144590004852,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group"
"Obscuribacteraceae",0.000377562028047465,0,0,0.000671441360787825,0.000606469002695418,0.000361249924739599,0.00109901611890308,0.00115681233933162,0.000293375579416769,0,0.000468008290432573,0.00121638924455826,0,0.000421792618629174,0.000895426926766869,0.000497653917247263,0,0,0,0,0,0,0,0.000993322664312124,0,0.000749193176579069,"Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Obscuribacteraceae"
"Oikopleura",0.000134843581445523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Oikopleura"
"OLB12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000584538944907204,0,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","OLB12"
"OLB14",0.0155339805825243,0.0227514352540931,0.0239414703393301,0.0183527305282005,0.0154986522911051,0.0118610391956168,0.012507850115135,0.0173521850899743,0.00258170509886757,0.00709973166368515,0.00895901584542355,0.00979513444302177,0.0111842570963403,0.0239718804920914,0.0461784457946914,0.0425138632162662,0.0167623539060898,0,0.000253893026404875,0,0,0,0,0.0103747033828155,0.0158976588213376,0.00904794836330106,"Bacteria","Chloroflexi","OLB14","OLB14","OLB14","OLB14"
"OM190",0.000647249190938511,0.00151499043163938,0.00150146051158855,0.00581915846016115,0.0068733153638814,0.00656270696610272,0.00795478333682227,0.00726221079691517,0.00211230417180074,0,0.000334291636023267,0.000704225352112676,0.00261909818078856,0.00724077328646749,0.00575631595778702,0.00391013792122849,0.00456223087963912,0,0,0,0,0,0,0.00910545775619447,0.00552692044960566,0.000576302443522361,"Bacteria","Planctomycetota","OM190","OM190","OM190","OM190"
"OM27_clade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000253893026404875,0,0,0,0,0,0,0,"Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade"
"Opitutus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00220040622884225,0.000598819470187345,0,0,0,0,0,0,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus"
"Paenibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202872677107847,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"Pajaroellobacter",0,0.000930257282585584,0.000791679178837597,0.00216353327364966,0.00134770889487871,0.001806249623698,0.000994347917102784,0.00173521850899743,0.00340315672123452,0.0017330053667263,0.00340977468743732,0.00089628681177977,0.0014865151836908,0.00126537785588752,0.00179085385353374,0.000995307834494526,0.00071765429567357,0,0,0,0,0,0,0.000993322664312124,0.00254610942060486,0.000691562932226833,"Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Pajaroellobacter"
"Paludibaculum",0,0,0,0,0.0045822102425876,0.00397374917213559,0,0,0,0.00134168157423971,0,0,0,0,0,0,0,0,0,0,0,0,0.000303250849102377,0,0,0,"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriae","Acidobacteriae","Paludibaculum"
"Parablastomonas",0.000701186623516721,0.000265787795024452,0.000272992820288826,0.00111906893464637,0,0,0.00130835252250366,0.00122107969151671,0.00205362905591739,0.00167710196779964,0.00080229992645584,0.00204865556978233,0.00198202024492107,0,0.000895426926766869,0,0,0,0,0.000228121702928512,0,0,0,0.000551845924617847,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Parablastomonas"
